date,text
"05 дек 2025, 10:33",Дмитриев связал вопрос обмена рупий с выходом России на рынки ИндииДмитриев связал вопрос обмена рупий с выходом России на рынки Индии
"04 дек 2025, 18:08",Финразведка назвала включение России в «черный» лист ЕС политизированнымФинразведка назвала включение России в «черный» лист ЕС политизированным
"04 дек 2025, 15:36",ЦБ выпустил монеты с фиксикамиЦБ выпустил монеты с фиксиками
"03 дек 2025, 14:33",Костин на фоне спора банков с маркетплейсами рассказал анекдот про нищегоКостин на фоне спора банков с маркетплейсами рассказал анекдот про нищего
"03 дек 2025, 14:30",ВТБ запустит в Китае для российских туристов сервис оплаты по QR-кодуВТБ запустит в Китае для российских туристов сервис оплаты по QR-коду
"03 дек 2025, 12:20",Костин призвал быть «более злыми» в ответе на заморозку активов РоссииКостин призвал быть «более злыми» в ответе на заморозку активов России
"03 дек 2025, 08:47",В ВТБ назвали снижение ставки ЦБ в декабре «новогодним подарком»
"03 дек 2025, 03:27",IPI Partners оштрафовали на $11 млн по подозрению в инвестициях КеримоваIPI Partners оштрафовали на $11 млн по подозрению в инвестициях Керимова
"03 дек 2025, 00:06",Силуанов заявил о «полном меню» инвестора после размещения ОФЗ в юанях
"02 дек 2025, 20:36",Костин спрогнозировал курс доллара к рублю на 2026 годКостин спрогнозировал курс доллара к рублю на 2026 год
"02 дек 2025, 19:40",Первый зампред ВТБ объяснил смысл «Инфляции в искусительных одеждах»
"02 дек 2025, 18:51","О ставке, рубле, налогах и госдолге. Главное с форума «Россия зовет!»О ставке, рубле, налогах и госдолге. Главное с форума «Россия зовет!»"
"02 дек 2025, 15:54",Орешкин назвал «скрытые» факторы влияния на рубльОрешкин назвал «скрытые» факторы влияния на рубль
"02 дек 2025, 14:59","Набиуллина объяснила, как дешевые деньги приводят к росту ценНабиуллина объяснила, как дешевые деньги приводят к росту цен"
"02 дек 2025, 13:53",Костин поддержал призыв признать проблему «ненастоящего» курса рубляКостин поддержал призыв признать проблему «ненастоящего» курса рубля
"02 дек 2025, 13:43",Бывший зампред ЦБ оценил идею создания в России валютного коридора
"02 дек 2025, 12:51",Российским банкам продлят право не раскрывать часть данных из-за санкцийРоссийским банкам продлят право не раскрывать часть данных из-за санкций
"02 дек 2025, 11:16","ВТБ спрогнозировал рост дохода россиян со вкладов в 1,5 разаВТБ спрогнозировал рост дохода россиян со вкладов в 1,5 раза"
"02 дек 2025, 09:04",Минфин объявил параметры выпусков дебютных ОФЗ в юаняхМинфин объявил параметры выпусков дебютных ОФЗ в юанях
"02 дек 2025, 07:00",Первый зампред ВТБ предложил альтернативу плавающему курсу рубляПервый зампред ВТБ предложил альтернативу плавающему курсу рубля
"02 дек 2025, 00:00",Первый зампред ВТБ написал о безумных качелях рубля и пакте ЦБ с властямиПервый зампред ВТБ написал о безумных качелях рубля и пакте ЦБ с властями
"01 дек 2025, 22:20",Wise предупредил о блокировке карт россиян без европейского ВНЖWise предупредил о блокировке карт россиян без европейского ВНЖ
"01 дек 2025, 17:01",ВТБ показал ролик с Набиуллиной — судьей и Силуановым — велосипедистомВТБ показал ролик с Набиуллиной — судьей и Силуановым — велосипедистом
"01 дек 2025, 10:46",ВТБ повысил ставки по вкладам в преддверии праздниковВТБ повысил ставки по вкладам в преддверии праздников
"01 дек 2025, 01:03","Россияне стали чаще брать новую ипотеку, не выплатив старую. ИнфографикаФото: Андрей Любимов / РБК"
"30 ноя 2025, 05:09",В Думе напомнили об идее «родительской зарплаты» для неработающих матерей
"28 ноя 2025, 10:00",ВТБ получил разрешение на вывод с баланса санкционных активов на $900 млнВТБ получил разрешение на вывод с баланса санкционных активов на $900 млн
"28 ноя 2025, 06:29",Экс-премьер назвал условие снижения ключевой ставки ЦБ до 6%Экс-премьер назвал условие снижения ключевой ставки ЦБ до 6%
"28 ноя 2025, 03:37",В Думе предложили ЦБ ввести купюру номиналом 10 тыс. руб.В Думе предложили ЦБ ввести купюру номиналом 10 тыс. руб.
"27 ноя 2025, 15:27","Первый зампред ВТБ рассказал, какой ставки ждут от ЦБ в 2026 годуПервый зампред ВТБ рассказал, какой ставки ждут от ЦБ в 2026 году"
"27 ноя 2025, 15:00",ЦБ назвал кредитный риск ключевой уязвимостью при замедлении экономикиЦБ назвал кредитный риск ключевой уязвимостью при замедлении экономики
"27 ноя 2025, 11:00",ВТБ сообщил о снижении среднего «чека» мошенников в четыре разаВТБ сообщил о снижении среднего «чека» мошенников в четыре раза
"26 ноя 2025, 19:53",ФНС напомнила о пенях для физлиц при неуплате налогов до декабряФНС напомнила о пенях для физлиц при неуплате налогов до декабря
"26 ноя 2025, 13:21","«Сбер» оценил, сколько клиентов не потянут подорожание семейной ипотеки«Сбер» оценил, сколько клиентов не потянут подорожание семейной ипотеки"
"25 ноя 2025, 12:53","Шохин оценил вероятность изменения ставки словами «дай бог на 0,5 п.п.»Шохин оценил вероятность изменения ставки словами «дай бог на 0,5 п.п.»"
"24 ноя 2025, 02:00",Как кредиты бизнесу аномально выросли в октябре. ИнфографикаКак кредиты бизнесу аномально выросли в октябре. Инфографика
"23 ноя 2025, 05:17","Forbes узнал, что Трамп потерял $1,1 млрд за два месяца"
"21 ноя 2025, 17:00",«Пусть клиент выбирает»: Альфа-банк предложил решение в споре о скидках
"21 ноя 2025, 08:01",Крупные банки уточнили свою позицию по запрету скидок на маркетплейсахКрупные банки уточнили свою позицию по запрету скидок на маркетплейсах
"20 ноя 2025, 18:07",Доля россиян без сбережений выросла до максимума почти за четыре годаДоля россиян без сбережений выросла до максимума почти за четыре года
"20 ноя 2025, 12:38",«Сбер» начал принимать платежи по QR‑кодам во Вьетнаме«Сбер» начал принимать платежи по QR‑кодам во Вьетнаме
"20 ноя 2025, 12:31",«Дом.РФ» привлек на бирже ₽25 млрд«Дом.РФ» привлек на бирже ₽25 млрд
"20 ноя 2025, 01:55","Путин заступился за работников «Сбера», признанных ИИ «неэффективными»Путин заступился за работников «Сбера», признанных ИИ «неэффективными»"
"19 ноя 2025, 21:08",Греф сообщил о сокращении 20% неэффективных сотрудников с помощью ИИГреф сообщил о сокращении 20% неэффективных сотрудников с помощью ИИ
"19 ноя 2025, 17:27",Клиентам ВТБ предложили оплачивать покупки во Вьетнаме по QR-кодуКлиентам ВТБ предложили оплачивать покупки во Вьетнаме по QR-коду
"19 ноя 2025, 16:06",Организатор дебютных госбондов в юанях оценил параметры размещения
